batch_id,final_quality_grade,final_moisture_content,total_processing_time_hr,total_loss_kg,yield_percent,broken_rice_percent,contamination_flag,risk_level,anomaly_flag,traceability_complete_flag,outcome_timestamp
BATCH-2025-0049,medium,14.42,401.88,2108.38,57.66,15.61,1,medium,0,1,2025-04-21T18:38:53+07:00
BATCH-2025-0050,substandard,13.34,550.91,756.0,56.2,25.27,0,medium,0,0,2025-02-10T14:33:44+07:00
BATCH-2025-0051,substandard,14.19,498.56,1409.84,61.61,30.75,0,medium,0,1,2025-04-18T18:35:46+07:00
BATCH-2025-0052,medium,12.57,340.4,1770.7,56.46,21.51,0,low,0,1,2025-07-21T09:52:15+07:00
BATCH-2025-0053,medium,13.48,488.25,2377.22,56.06,22.57,0,medium,0,0,2025-05-25T02:25:13+07:00
BATCH-2025-0054,substandard,16.41,531.35,664.64,57.44,29.36,1,high,1,0,2025-06-01T21:42:59+07:00
BATCH-2025-0055,substandard,13.47,582.47,2273.33,61.1,32.37,0,medium,0,1,2025-07-31T16:03:58+07:00
BATCH-2025-0056,premium,13.46,424.55,958.25,60.41,14.09,0,low,0,1,2025-07-15T22:52:50+07:00
BATCH-2025-0057,medium,13.79,397.42,1331.72,49.0,22.08,0,low,0,1,2025-05-15T16:36:26+07:00
BATCH-2025-0058,substandard,15.45,486.21,2481.21,55.7,22.01,0,medium,0,1,2025-06-30T03:05:23+07:00
BATCH-2025-0059,substandard,14.37,366.32,1453.89,49.0,25.66,0,low,0,1,2025-05-04T15:42:28+07:00
BATCH-2025-0060,substandard,17.33,562.28,1087.62,53.22,31.51,1,high,1,0,2025-02-14T18:56:53+07:00
BATCH-2025-0061,medium,13.34,284.61,1768.52,49.13,18.9,0,low,0,1,2025-07-14T04:20:23+07:00
BATCH-2025-0062,substandard,15.56,562.04,2031.55,59.37,24.94,1,high,1,1,2025-04-24T04:00:09+07:00
BATCH-2025-0063,substandard,13.16,469.77,2158.45,54.48,25.2,1,high,1,0,2025-03-06T18:52:09+07:00
BATCH-2025-0064,medium,14.42,539.95,2616.36,52.35,10.83,0,low,0,1,2025-04-25T21:54:42+07:00
BATCH-2025-0065,substandard,15.35,590.33,1684.49,56.31,32.82,1,high,1,1,2025-07-19T14:57:02+07:00
BATCH-2025-0066,medium,12.79,321.04,1912.32,58.55,23.13,0,low,0,1,2025-03-02T12:32:11+07:00
BATCH-2025-0067,medium,13.51,468.26,1019.45,56.32,21.97,1,medium,0,1,2025-06-03T15:52:40+07:00
BATCH-2025-0068,substandard,15.34,580.7,1547.98,52.78,24.41,1,high,1,0,2025-08-11T23:55:02+07:00
BATCH-2025-0069,premium,12.79,274.39,1555.1,58.86,17.62,0,low,0,1,2025-05-13T04:28:28+07:00
BATCH-2025-0070,substandard,13.5,370.45,1856.74,50.76,27.66,1,high,0,1,2025-04-14T15:41:11+07:00
BATCH-2025-0071,medium,13.76,356.82,1385.35,57.52,24.68,0,low,0,1,2025-06-20T03:12:26+07:00
BATCH-2025-0072,substandard,14.84,469.84,2997.46,51.12,28.69,0,medium,0,1,2025-03-23T18:01:10+07:00
BATCH-2025-0073,medium,13.06,347.63,771.88,62.5,20.09,0,low,0,1,2025-04-23T21:55:55+07:00
BATCH-2025-0074,premium,12.21,299.2,2429.83,53.32,15.62,0,low,0,1,2025-02-15T15:44:53+07:00
BATCH-2025-0075,substandard,14.83,399.75,2527.69,52.61,26.85,1,high,0,1,2025-04-07T23:07:12+07:00
BATCH-2025-0076,substandard,16.32,476.25,2446.52,54.74,28.1,0,medium,0,1,2025-07-09T10:27:42+07:00
BATCH-2025-0077,premium,13.01,296.6,1209.71,59.19,7.76,0,low,0,1,2025-07-04T03:17:03+07:00
BATCH-2025-0078,substandard,14.72,468.96,1150.59,52.4,34.0,1,high,1,1,2025-07-21T20:04:53+07:00
BATCH-2025-0079,substandard,14.88,576.19,1475.08,53.12,27.59,0,medium,0,1,2025-04-18T19:49:12+07:00
BATCH-2025-0080,substandard,17.36,600.54,757.56,57.24,33.01,1,high,1,0,2025-06-04T18:44:26+07:00
BATCH-2025-0081,substandard,15.27,531.77,1891.73,55.67,22.01,1,high,0,0,2025-05-17T05:37:24+07:00
BATCH-2025-0082,substandard,15.8,464.22,944.9,54.44,23.59,1,high,0,1,2025-04-12T08:58:09+07:00
BATCH-2025-0083,substandard,14.73,403.69,2592.11,57.05,30.2,1,medium,0,1,2025-07-11T15:26:10+07:00
BATCH-2025-0084,medium,13.83,372.9,816.51,61.44,19.34,1,medium,0,1,2025-06-04T19:11:02+07:00
BATCH-2025-0085,medium,12.46,444.17,814.38,49.0,20.6,1,medium,0,1,2025-05-22T15:52:27+07:00
BATCH-2025-0086,medium,13.67,380.1,1889.44,54.8,20.37,0,low,0,1,2025-05-14T05:33:01+07:00
BATCH-2025-0087,substandard,13.68,454.7,1220.64,55.31,26.85,0,medium,0,1,2025-05-26T22:44:14+07:00
BATCH-2025-0088,substandard,15.64,537.8,2781.97,49.05,24.26,1,high,1,1,2025-02-14T01:14:57+07:00
BATCH-2025-0089,substandard,15.2,407.97,2451.21,55.05,18.04,1,medium,0,1,2025-06-25T18:54:06+07:00
BATCH-2025-0090,premium,13.4,404.36,753.9,56.24,16.36,0,low,0,1,2025-06-15T05:24:19+07:00
BATCH-2025-0091,medium,14.2,407.89,1524.47,52.76,22.42,0,low,0,1,2025-02-05T13:15:32+07:00
BATCH-2025-0092,substandard,13.89,419.67,2208.57,57.0,28.24,0,medium,0,0,2025-05-01T12:32:11+07:00
BATCH-2025-0093,medium,13.91,378.98,1164.58,49.34,18.61,1,medium,0,1,2025-06-06T13:50:40+07:00
BATCH-2025-0094,substandard,18.01,679.18,1809.38,54.71,29.45,1,high,1,1,2025-07-04T15:18:43+07:00
BATCH-2025-0095,medium,14.75,391.31,1683.66,52.8,16.67,1,high,0,0,2025-02-21T06:42:35+07:00
BATCH-2025-0096,substandard,14.42,599.71,1765.25,54.39,33.45,1,high,1,0,2025-06-22T01:56:52+07:00
BATCH-2025-0097,medium,13.68,374.18,2730.75,54.3,21.86,0,low,0,1,2025-06-20T01:31:05+07:00
BATCH-2025-0098,substandard,16.2,501.76,1174.07,53.18,20.12,1,high,1,0,2025-03-20T03:10:20+07:00
BATCH-2025-0099,medium,13.64,362.7,1445.85,51.95,20.06,0,low,0,1,2025-03-22T03:36:52+07:00
BATCH-2025-0100,substandard,13.7,281.43,1504.87,51.48,26.57,0,low,0,1,2025-03-10T19:43:55+07:00
BATCH-2025-0101,substandard,15.64,626.56,2839.53,51.25,34.0,1,high,1,1,2025-04-01T07:33:19+07:00
BATCH-2025-0102,substandard,15.66,359.65,1400.87,53.77,24.38,1,medium,0,1,2025-02-20T12:07:02+07:00
BATCH-2025-0103,medium,13.7,457.91,2459.87,57.13,24.48,0,low,0,1,2025-02-27T15:52:45+07:00
BATCH-2025-0104,substandard,17.77,591.37,2118.42,56.18,34.0,1,high,1,0,2025-08-10T02:19:15+07:00
BATCH-2025-0105,substandard,15.8,446.17,2767.65,52.89,24.33,1,high,1,1,2025-02-07T16:06:03+07:00
BATCH-2025-0106,medium,14.34,505.77,2300.31,56.41,18.39,0,low,0,1,2025-06-30T02:08:28+07:00
BATCH-2025-0107,substandard,16.07,568.96,2630.22,49.03,34.0,1,high,1,0,2025-03-30T17:29:43+07:00
BATCH-2025-0108,substandard,14.5,552.18,954.67,52.58,25.03,0,medium,0,1,2025-02-18T22:29:31+07:00
BATCH-2025-0109,substandard,15.37,611.53,1366.85,55.98,33.29,1,high,1,0,2025-03-11T03:31:47+07:00
BATCH-2025-0110,substandard,13.28,435.77,1552.24,58.56,30.3,0,low,0,1,2025-05-13T13:05:03+07:00
BATCH-2025-0111,medium,13.98,509.54,711.16,56.08,24.01,1,medium,0,1,2025-04-11T18:26:17+07:00
BATCH-2025-0112,substandard,15.49,550.6,2306.41,54.05,23.2,1,high,1,1,2025-05-12T01:22:43+07:00
BATCH-2025-0113,substandard,15.96,491.15,1815.33,49.47,34.0,1,high,1,1,2025-04-13T22:05:59+07:00
BATCH-2025-0114,substandard,15.19,516.1,1351.87,55.61,31.87,0,high,1,1,2025-07-30T14:14:00+07:00
BATCH-2025-0115,medium,12.77,459.23,2084.7,57.24,19.95,1,high,1,1,2025-03-21T08:37:55+07:00
BATCH-2025-0116,substandard,13.81,354.14,1039.67,54.48,29.13,1,medium,0,1,2025-04-05T03:29:29+07:00
BATCH-2025-0117,medium,13.3,398.89,1554.6,51.36,20.42,1,medium,0,1,2025-03-11T17:32:24+07:00
BATCH-2025-0118,medium,14.88,461.13,1532.29,57.12,21.24,0,low,0,1,2025-06-08T13:28:46+07:00
BATCH-2025-0119,substandard,15.16,508.42,960.04,54.36,25.5,1,high,1,1,2025-05-10T19:35:58+07:00
BATCH-2025-0120,substandard,16.41,401.08,2967.29,49.05,20.44,0,medium,0,0,2025-07-27T22:35:55+07:00
BATCH-2025-0121,substandard,14.36,450.48,852.59,54.49,26.15,1,high,1,1,2025-06-01T01:41:39+07:00
BATCH-2025-0122,medium,14.56,515.21,1758.95,54.51,20.31,1,high,1,1,2025-02-16T22:48:20+07:00
BATCH-2025-0123,substandard,15.28,442.04,2654.92,52.14,27.88,1,high,1,1,2025-07-01T10:43:14+07:00
BATCH-2025-0124,medium,14.98,418.66,2183.38,56.26,21.15,0,low,0,1,2025-05-28T00:39:50+07:00
BATCH-2025-0125,medium,14.12,498.62,793.11,54.78,21.93,0,low,0,1,2025-02-26T13:23:22+07:00
BATCH-2025-0126,medium,14.07,267.74,2122.21,60.07,22.27,0,low,0,1,2025-05-29T08:15:18+07:00
BATCH-2025-0127,medium,13.66,395.99,2643.5,52.39,18.97,1,high,1,1,2025-06-01T00:31:25+07:00
BATCH-2025-0128,medium,13.07,360.67,1429.81,54.38,23.4,1,medium,0,1,2025-04-02T13:48:29+07:00
BATCH-2025-0129,substandard,17.32,423.41,866.78,49.0,26.88,1,high,0,0,2025-03-08T08:16:48+07:00
BATCH-2025-0130,medium,14.92,476.1,1585.16,50.19,17.68,1,high,1,1,2025-04-14T05:40:45+07:00
BATCH-2025-0131,substandard,16.08,613.71,717.44,52.94,31.09,1,high,1,1,2025-05-26T20:48:45+07:00
BATCH-2025-0132,medium,13.76,263.06,1152.16,60.34,21.48,0,low,0,1,2025-05-01T20:55:35+07:00
BATCH-2025-0133,medium,12.04,374.29,615.19,59.04,24.04,0,low,0,1,2025-04-09T14:20:36+07:00
BATCH-2025-0134,substandard,15.02,361.08,2300.07,61.47,28.1,0,medium,0,0,2025-06-07T03:07:39+07:00
BATCH-2025-0135,medium,14.07,510.39,946.11,53.65,18.36,0,low,0,0,2025-05-03T16:04:15+07:00
BATCH-2025-0136,substandard,11.48,403.73,2346.88,54.82,25.12,0,medium,0,1,2025-06-05T14:19:02+07:00
BATCH-2025-0137,substandard,14.81,587.08,2805.5,49.92,34.0,1,high,1,1,2025-02-14T11:41:32+07:00
BATCH-2025-0138,medium,14.22,253.77,960.51,60.58,12.31,1,medium,0,1,2025-04-30T22:34:06+07:00
BATCH-2025-0139,medium,13.19,519.28,2011.3,54.74,22.34,1,high,1,1,2025-08-10T19:38:45+07:00
BATCH-2025-0140,substandard,17.3,568.5,1686.12,55.15,26.06,1,high,0,1,2025-02-09T22:47:57+07:00
BATCH-2025-0141,medium,14.13,467.27,2849.37,50.82,17.24,1,high,0,0,2025-07-17T17:09:20+07:00
BATCH-2025-0142,substandard,13.95,426.52,1065.15,59.76,26.75,1,high,0,0,2025-02-28T20:23:19+07:00
BATCH-2025-0143,substandard,14.35,325.01,2696.46,55.5,32.36,1,medium,0,1,2025-03-30T19:59:36+07:00
BATCH-2025-0144,substandard,13.82,416.68,1640.88,49.0,27.9,1,high,1,0,2025-07-23T09:01:41+07:00
BATCH-2025-0145,substandard,14.29,456.97,1206.53,55.79,34.0,1,high,1,1,2025-02-10T07:45:08+07:00
BATCH-2025-0146,medium,14.3,373.76,2462.29,54.41,20.83,0,low,0,0,2025-06-18T18:32:43+07:00
BATCH-2025-0147,medium,13.84,420.57,1068.26,58.97,18.69,0,low,0,1,2025-03-31T22:39:09+07:00
BATCH-2025-0148,substandard,15.21,492.24,2432.99,49.0,34.0,1,high,1,0,2025-03-25T17:28:09+07:00
BATCH-2025-0149,substandard,15.07,488.98,1310.14,51.95,29.26,1,high,0,0,2025-03-21T18:29:05+07:00
BATCH-2025-0150,medium,14.4,344.58,1625.14,56.31,21.94,0,low,0,1,2025-05-23T02:18:52+07:00
BATCH-2025-0151,substandard,12.57,561.38,1044.07,60.62,27.68,0,medium,0,1,2025-07-05T16:34:44+07:00
BATCH-2025-0152,premium,12.81,492.85,816.3,58.63,16.67,0,medium,0,0,2025-07-23T05:52:06+07:00
BATCH-2025-0153,medium,13.11,454.33,2011.04,59.07,15.4,1,medium,1,1,2025-04-10T07:59:51+07:00
BATCH-2025-0154,substandard,13.21,469.22,752.46,49.84,25.6,1,high,1,1,2025-03-22T04:52:12+07:00
BATCH-2025-0155,substandard,14.65,509.58,1822.93,54.52,25.77,1,medium,0,1,2025-05-04T00:57:50+07:00
BATCH-2025-0156,substandard,16.11,470.4,1006.87,55.5,24.06,1,high,1,1,2025-08-04T17:03:02+07:00
BATCH-2025-0157,medium,12.26,318.9,831.89,55.51,18.01,0,low,0,0,2025-06-11T09:06:53+07:00
BATCH-2025-0158,substandard,14.06,427.95,804.8,58.15,25.9,1,high,0,1,2025-02-07T12:40:50+07:00
BATCH-2025-0159,substandard,15.68,624.67,958.13,54.48,31.13,1,high,1,1,2025-04-13T22:49:06+07:00
BATCH-2025-0160,medium,14.39,389.45,1774.18,59.68,24.22,1,medium,0,1,2025-02-27T19:27:47+07:00
BATCH-2025-0161,medium,13.33,408.99,1245.43,57.79,18.04,0,low,0,1,2025-02-06T10:12:16+07:00
BATCH-2025-0162,substandard,13.99,364.85,1492.59,56.32,33.25,0,low,0,1,2025-03-29T17:37:47+07:00
BATCH-2025-0163,medium,13.09,480.06,1977.2,53.77,21.95,1,high,0,0,2025-06-23T06:03:32+07:00
BATCH-2025-0164,substandard,15.56,467.07,2380.14,53.22,34.0,1,high,1,1,2025-04-27T15:51:04+07:00
BATCH-2025-0165,medium,14.21,433.6,2762.79,49.0,17.42,0,low,0,1,2025-07-15T09:17:49+07:00
BATCH-2025-0166,substandard,13.45,463.4,2595.61,51.0,25.86,0,low,0,1,2025-05-18T22:26:05+07:00
BATCH-2025-0167,medium,13.67,431.11,1427.37,54.14,23.67,0,low,0,1,2025-02-27T18:15:49+07:00
BATCH-2025-0168,medium,12.41,269.47,1441.29,53.89,21.47,0,low,0,0,2025-06-29T16:40:12+07:00
BATCH-2025-0169,substandard,14.79,431.37,2059.04,51.71,34.0,0,high,1,0,2025-04-24T23:12:01+07:00
BATCH-2025-0170,substandard,14.2,501.81,918.83,57.13,29.35,0,high,1,0,2025-07-12T03:58:31+07:00
BATCH-2025-0171,premium,13.3,271.09,2351.15,57.27,12.48,0,low,0,1,2025-07-15T07:06:14+07:00
BATCH-2025-0172,substandard,16.34,435.08,2078.63,51.62,32.63,1,high,1,0,2025-03-24T11:02:02+07:00
BATCH-2025-0173,medium,14.7,427.57,1362.83,52.21,16.66,0,medium,0,0,2025-03-08T03:07:05+07:00
BATCH-2025-0174,substandard,13.67,213.86,1884.36,59.42,27.22,0,low,0,1,2025-07-04T07:20:31+07:00
BATCH-2025-0175,substandard,16.4,692.91,1456.89,49.4,33.43,1,high,1,0,2025-07-21T07:10:18+07:00
BATCH-2025-0176,medium,14.01,403.76,2540.75,57.51,15.39,0,low,0,1,2025-04-24T03:26:29+07:00
BATCH-2025-0177,substandard,14.72,553.5,1642.05,49.38,29.61,1,high,1,0,2025-03-22T09:41:56+07:00
BATCH-2025-0178,premium,13.01,495.03,2464.87,54.46,17.63,0,low,0,1,2025-04-08T17:13:48+07:00
BATCH-2025-0179,medium,14.75,451.87,817.84,56.86,24.92,0,low,0,1,2025-03-29T04:41:06+07:00
BATCH-2025-0180,premium,13.39,268.19,2214.52,53.68,15.8,0,low,0,1,2025-02-10T07:28:17+07:00
BATCH-2025-0181,substandard,15.07,336.63,2090.39,51.4,25.17,0,medium,0,0,2025-05-03T19:30:42+07:00
BATCH-2025-0182,substandard,14.45,560.16,696.45,54.2,29.89,1,high,1,1,2025-03-31T02:49:28+07:00
BATCH-2025-0183,premium,12.88,353.88,1506.9,61.84,17.94,0,medium,0,0,2025-07-12T11:39:43+07:00
BATCH-2025-0184,substandard,15.93,467.91,1707.11,53.82,31.59,1,high,0,1,2025-02-11T14:50:35+07:00
BATCH-2025-0185,substandard,17.16,462.51,1182.28,54.64,27.06,1,high,0,1,2025-06-27T13:36:50+07:00
BATCH-2025-0186,substandard,16.14,396.7,2508.06,57.54,30.84,1,high,0,1,2025-07-06T21:31:07+07:00
BATCH-2025-0187,medium,13.48,237.87,1849.28,58.49,16.35,1,medium,0,1,2025-07-06T05:42:05+07:00
BATCH-2025-0188,substandard,16.21,398.21,2830.62,51.01,19.92,1,high,0,0,2025-04-21T16:49:38+07:00
BATCH-2025-0189,substandard,14.69,391.58,2376.62,54.02,28.67,0,medium,0,0,2025-03-11T15:14:53+07:00
BATCH-2025-0190,substandard,15.16,476.89,775.66,57.03,26.93,1,high,0,1,2025-08-07T18:16:12+07:00
BATCH-2025-0191,substandard,13.95,488.1,2410.25,55.9,29.25,1,high,1,1,2025-08-09T05:40:03+07:00
BATCH-2025-0192,substandard,15.81,621.85,1120.07,52.98,34.0,1,high,1,0,2025-06-19T03:00:15+07:00
BATCH-2025-0193,substandard,17.36,468.03,1721.73,49.03,26.08,1,high,1,1,2025-04-08T03:07:40+07:00
BATCH-2025-0194,premium,13.99,545.97,2116.08,56.07,14.5,0,low,0,1,2025-05-23T11:53:21+07:00
BATCH-2025-0195,medium,13.54,400.88,2255.64,59.63,19.84,0,low,0,1,2025-05-27T18:30:39+07:00
BATCH-2025-0196,substandard,14.67,434.81,1153.1,53.31,29.67,0,low,0,1,2025-04-08T07:43:30+07:00
BATCH-2025-0197,substandard,16.05,473.22,790.37,60.68,24.05,0,medium,0,1,2025-02-22T09:55:58+07:00
BATCH-2025-0198,substandard,14.36,433.33,1406.95,51.76,26.08,1,medium,0,1,2025-06-23T22:50:55+07:00
BATCH-2025-0199,substandard,15.45,508.72,2138.26,60.9,29.98,1,high,0,0,2025-06-13T11:03:09+07:00
BATCH-2025-0200,premium,13.86,395.13,1711.16,62.8,16.08,0,low,0,1,2025-07-14T00:59:05+07:00
BATCH-2025-0201,substandard,14.07,282.84,1285.83,61.45,26.71,0,medium,0,1,2025-03-19T14:23:22+07:00
BATCH-2025-0202,substandard,14.5,407.19,1942.71,61.14,28.26,1,medium,0,1,2025-07-29T09:19:13+07:00
BATCH-2025-0203,premium,11.89,464.51,1045.29,55.48,16.21,0,low,0,1,2025-08-07T22:48:37+07:00
BATCH-2025-0204,substandard,15.78,664.18,1210.71,50.91,26.75,1,high,1,1,2025-05-01T10:04:52+07:00
BATCH-2025-0205,substandard,15.28,321.73,2369.18,54.8,25.36,0,medium,0,1,2025-04-19T11:35:58+07:00
BATCH-2025-0206,medium,12.77,393.58,1602.77,58.52,19.93,0,medium,1,1,2025-06-18T06:46:01+07:00
BATCH-2025-0207,medium,14.43,594.77,1218.77,57.69,23.22,1,high,1,1,2025-02-19T21:06:18+07:00
BATCH-2025-0208,substandard,15.02,394.58,1782.82,54.27,31.39,0,medium,0,0,2025-05-08T02:36:59+07:00
BATCH-2025-0209,medium,14.28,354.41,1622.78,58.22,18.29,1,high,0,0,2025-06-25T05:09:33+07:00
BATCH-2025-0210,medium,13.02,480.22,1327.85,61.31,22.66,0,low,0,0,2025-04-30T23:41:20+07:00
BATCH-2025-0211,medium,13.31,344.08,1754.63,59.37,18.14,0,low,0,1,2025-03-07T09:51:03+07:00
BATCH-2025-0212,premium,13.42,454.81,2168.64,50.56,13.38,0,low,0,1,2025-02-06T13:24:43+07:00
BATCH-2025-0213,medium,14.0,557.39,2360.91,56.57,23.91,1,medium,1,1,2025-04-22T11:58:11+07:00
BATCH-2025-0214,substandard,15.08,695.75,1926.34,51.48,34.0,1,high,1,0,2025-03-13T09:08:16+07:00
BATCH-2025-0215,medium,14.18,367.7,1836.6,56.22,23.63,0,low,0,1,2025-03-20T09:54:10+07:00
BATCH-2025-0216,medium,13.66,414.19,2460.55,59.55,24.53,0,low,0,1,2025-04-13T15:15:06+07:00
BATCH-2025-0217,substandard,15.23,516.47,1971.64,49.0,34.0,1,high,1,0,2025-05-05T18:47:10+07:00
BATCH-2025-0218,substandard,14.55,425.86,1625.3,51.44,32.2,0,medium,0,0,2025-06-10T09:37:26+07:00
BATCH-2025-0219,premium,12.33,327.81,723.24,55.73,17.35,0,low,0,1,2025-07-08T18:32:23+07:00
BATCH-2025-0220,substandard,14.16,386.04,2403.85,55.4,30.06,0,medium,0,1,2025-02-28T02:18:10+07:00
BATCH-2025-0221,premium,12.89,255.91,1429.34,53.17,17.64,0,low,0,1,2025-04-24T06:27:22+07:00
BATCH-2025-0222,medium,14.74,327.57,2641.3,56.52,14.19,1,medium,0,1,2025-05-31T20:14:27+07:00
BATCH-2025-0223,substandard,13.46,455.18,1582.51,57.26,32.12,1,high,0,1,2025-05-07T23:07:00+07:00
BATCH-2025-0224,substandard,15.73,523.48,1023.94,56.49,20.98,1,high,1,0,2025-04-05T02:45:58+07:00
BATCH-2025-0225,substandard,15.54,374.46,2198.46,52.8,17.59,0,low,0,1,2025-03-28T16:19:19+07:00
BATCH-2025-0226,substandard,15.19,490.83,765.71,59.06,25.01,1,high,0,1,2025-04-01T13:18:42+07:00
BATCH-2025-0227,substandard,14.07,494.3,2412.29,58.64,32.21,0,low,0,1,2025-04-17T21:00:55+07:00
