tx_id,batch_id,event_id,tx_hash,block_number,tx_time,smart_contract_event,contract_address,wallet_from,wallet_to,gas_fee,verification_status,on_chain_flag
TX-0000011,BATCH-2025-0002,EVT-000021,0x7fe8071b5755bd787c35f26328f660603210188ac24a33cba48cb6a10eda3306,18750055,2025-05-16T04:30:42+07:00,StorageRegisteredRetry,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x415a9da920329d71427d10f3f3e3ae63081fc5c1,0x6c78ca4e6d72013f314ae64afd9ad2a61e2d749c,0.003237,verified,1
TX-0000012,BATCH-2025-0002,EVT-000022,0xe70116554f409aa79550b10d3126eee57d36554ea30bc0e16feba05b444f67ee,18750036,2025-05-18T08:28:23+07:00,QualityVerified,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xe4277e10abaf04d118fd7b33ab96983ef5b2b5fc,0x5e572250687b44793fa3c01410ecdc65c2ba1afd,0.004101,failed,0
TX-0000013,BATCH-2025-0002,EVT-000022,0x8e0191059c962063bcf94a16ec4cd5b624b5d5303ce0faca07e8d5fb93e90ec9,18750052,2025-05-18T09:23:23+07:00,QualityVerifiedRetry,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x415a9da920329d71427d10f3f3e3ae63081fc5c1,0xd1b54c3f14d1166210ed64ab6544bca2334faaa6,0.002137,verified,1
TX-0000014,BATCH-2025-0002,EVT-000024,0xa14208e3f6b183bace5ea6830e96d22157799a8e7e0f66fdde82c50c999f2e24,18750056,2025-05-21T10:37:05+07:00,MillingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xe4277e10abaf04d118fd7b33ab96983ef5b2b5fc,0x71139abe5f2fd8c88aecace5647c49b84167ebe5,0.002478,verified,1
TX-0000015,BATCH-2025-0002,EVT-000025,0xb0269e56867247d444cb731dc4acdd10d2b4ededfbfee4e553d6202e225aaf2b,18750045,2025-05-22T06:10:17+07:00,PackingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xe4277e10abaf04d118fd7b33ab96983ef5b2b5fc,0x40c89bb0988508ced18ccd78dba2fa8f9ab8f355,0.001885,verified,1
TX-0000016,BATCH-2025-0002,EVT-000026,0xe71ae048dd177d8826fb5d74d6b0c2c57d20327b022e064beeb79e99da98c42e,18750048,2025-05-23T00:46:00+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xe4277e10abaf04d118fd7b33ab96983ef5b2b5fc,0x11e0997cd310ae7a79c56d7d0bf99c772d0b2303,0.001063,failed,0
TX-0000017,BATCH-2025-0002,EVT-000027,0xb8ca1f83df30d72fd3a9871f99edd1c71ee73961016d153921560523508a69d3,18750017,2025-05-24T07:40:53+07:00,LogisticsLoaded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x05346c5f477ccbdb2fddd227bf4ae9667a45bd82,0x0abbd3408921fcc67d891e91f96ca32904fdbc77,0.005631,pending,1
TX-0000018,BATCH-2025-0002,EVT-000029,0x39e449a97657219e78944101eee14eb7875f93cdcb60599c2c12051c1ce97f19,18750054,2025-05-26T19:41:09+07:00,RetailReceived,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x0c51da0b52eb502c6a2906f0aa58f1f9d533a28b,0x98cc86a4e3212ba4bbfbbe3244bb3e30159a93a4,0.001381,verified,1
TX-0000019,BATCH-2025-0003,EVT-000030,0xbe3f4cf934f02ddbb7a299c4fcdcd3471cf39e53575e3fb3ccfa529160ae0a98,18750019,2025-06-16T20:34:49+07:00,BatchCreated,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x20cdb3c15c362cad359a3cf6494802fee9874df1,0x5b0c64c006618676aae109c6c8e4891c59172801,0.003003,failed,0
TX-0000020,BATCH-2025-0003,EVT-000034,0x2bb0663cc4ec2441e2e0702a4609b82e5b646f5b70882ab828be589be1df75ee,18750080,2025-06-20T19:07:31+07:00,QualityVerified,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x328dcad488ca39238df2933124f951b68fc63368,0x2b0362fcba24d32dd6a9c816a9ce1e0996da85ba,0.001552,verified,1
TX-0000021,BATCH-2025-0003,EVT-000035,0x768b2088a38593b054bf2f7027c455b2f6b42ae51596e5bdd5f5360ea9d54c06,18750042,2025-06-22T08:23:13+07:00,RedryingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x328dcad488ca39238df2933124f951b68fc63368,0xa1d9190cab80ac4f743f0a8f935dac0571919c5a,0.001072,verified,1
TX-0000022,BATCH-2025-0003,EVT-000037,0xef8b9afa446c09d09a727c55b9ca9053fa230ca105e10c07413ab4025558925e,18750066,2025-06-26T13:37:07+07:00,QualityVerified,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x328dcad488ca39238df2933124f951b68fc63368,0x6c64fb0cf738c2cbb84e0601955c5f403592bced,0.003536,pending,1
TX-0000023,BATCH-2025-0003,EVT-000037,0x51146803f6c1e4ee6436a9894f6ae938abc5605293d995c450322e7e5590fbc3,18750115,2025-06-26T14:47:07+07:00,QualityVerifiedRetry,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xdb03d3db47c1ccd5b4196e6e32f8426970b29301,0xa42416c4a77ad54f8f2caeeb88aba473f45b1720,0.0045,verified,1
TX-0000024,BATCH-2025-0003,EVT-000038,0x28fab7809decde9eddaa110f7f378b147632710fad8e5207600612fb0d008953,18750024,2025-06-27T20:14:42+07:00,ReprocessingRecorded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x328dcad488ca39238df2933124f951b68fc63368,0x40c89bb0988508ced18ccd78dba2fa8f9ab8f355,0.001887,pending,1
TX-0000025,BATCH-2025-0003,EVT-000040,0xeeea8b6c6ad045b28c5ba8c4c232a6366838be414d69651cfa5ad980ed68b726,18750075,2025-06-30T23:30:01+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x328dcad488ca39238df2933124f951b68fc63368,0x11e0997cd310ae7a79c56d7d0bf99c772d0b2303,0.000553,verified,1
TX-0000026,BATCH-2025-0003,EVT-000043,0x2a86a60862eea08faadfd8fa53af9223f81dacbc3091a5d275d76da0383aa3ff,18750052,2025-07-02T22:25:19+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x328dcad488ca39238df2933124f951b68fc63368,0x7dd16409dcf043e06a49a0eae1885d16ac970b6b,0.0028,pending,1
TX-0000027,BATCH-2025-0003,EVT-000043,0x4bbcdbbe09cd4305fc8ae7d707a0a711fa4581886a42781067ec0db384454a64,18750054,2025-07-02T23:05:19+07:00,BatchAnchoredRetry,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xdb03d3db47c1ccd5b4196e6e32f8426970b29301,0xb9da20605f3093ec8ef9a0049fdd3c4f10319414,0.001797,pending,1
TX-0000028,BATCH-2025-0003,EVT-000045,0x9103b219faf97f69991dd9324ac18cac38cc9d93e01c2591d3d6d5a4ea903a44,18750112,2025-07-03T23:30:53+07:00,OwnershipTransferred,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xa88fadc1f024a4ec1d8d39e73dea7a9099d3d06f,0x8e9ada45b5d42571f6f5bd5d720f8cab2dccf007,0.003954,pending,1
TX-0000029,BATCH-2025-0003,EVT-000046,0xfa082f462d08e5aa5fe834f37f4aea23c28c4e9a2b70fda74d0eec4a9eee2559,18750029,2025-07-05T21:50:15+07:00,RetailReceived,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x143fe48152f4d8d5df9bde77a79f8bc7cf14ae44,0xb0417ad642a79c62a02fc50275f3cabdefafa748,0.001013,verified,1
TX-0000030,BATCH-2025-0004,EVT-000047,0xc4c9c96e93caff1413a34aab0c8da1baae459d1e2f44b3c8f48905401839bfae,18750090,2025-07-18T22:24:51+07:00,BatchCreated,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x866f0e53e985cdacceed712c1b57aa44b34d2d3c,0x4b4123c6c1922fd74c75dc1122c6c9c29aa3a340,0.003766,verified,1
TX-0000031,BATCH-2025-0004,EVT-000053,0x821de3c3b5530c10ac57ce94d7cd941438c0d0a99e46b4331b2d4e4bd39fc5c6,18750031,2025-07-28T07:32:54+07:00,ReprocessingRecorded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xbcab8365239a65abb914d3d8a236a6191acacbf2,0xe1de79e5b96cc1bac99cc3b44e7b80a0d343edef,0.003069,verified,1
TX-0000032,BATCH-2025-0004,EVT-000054,0xcbf60bfac0496e193c4282b4a535731e451582b98549bce4e04048a9eb19c47e,18750128,2025-07-29T10:53:35+07:00,MillingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xbcab8365239a65abb914d3d8a236a6191acacbf2,0x1e92922656f946f58a643693adf246f5415b873e,0.002812,verified,1
TX-0000033,BATCH-2025-0004,EVT-000055,0x1a28d8b4fedce52d19539160255c1ca5911b2f8b189970e5b40776c2b42d66d3,18750033,2025-07-30T05:08:19+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xbcab8365239a65abb914d3d8a236a6191acacbf2,0x6cc44eb2ed41a0e4ce58ebd34572f2a35818e3fd,0.001312,verified,1
TX-0000034,BATCH-2025-0004,EVT-000056,0xb0725fac301caecae64c887d43491176ca76e2ab417bf587d274662e05b1cb6f,18750068,2025-07-30T19:59:07+07:00,GradingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xbcab8365239a65abb914d3d8a236a6191acacbf2,0xa99e2143c452451e3a42ece708e730b940aae195,0.001684,verified,1
TX-0000035,BATCH-2025-0004,EVT-000057,0x6dde4e341c2eebbd441941c4d697b836c501c0e1d7a1f266f8aec030cffc5ac0,18750140,2025-07-31T18:56:49+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xbcab8365239a65abb914d3d8a236a6191acacbf2,0xc76fad37513081ba512e6bcea02a119968c62597,0.002807,verified,1
TX-0000036,BATCH-2025-0004,EVT-000058,0x63397fb9ccfa1cdc33060060140b08c4bb0426d78d79ea998b91c06bfe40abaa,18750072,2025-08-02T06:01:11+07:00,LogisticsLoaded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xc27418996f7592b7242b9428621aa3bfd118c986,0x87a0fcc429df71e3c5c107e250a5cda2e6d25314,0.002928,verified,1
TX-0000037,BATCH-2025-0004,EVT-000059,0x59da13bcd1cdce2068913ef5d75728f985b23942e05fc29bf1d78d913ff05476,18750148,2025-08-05T18:43:01+07:00,OwnershipTransferred,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x107a34213b47eced68ce03e1dcae4059284e0bf2,0xef8fd7e607467a9ecd40e92920484d2e8608f66e,0.003202,verified,1
TX-0000038,BATCH-2025-0005,EVT-000064,0x48f5cb1e86a8b47769544a11027ae5dd03b2a229fbee6603ee43e1136299485d,18750152,2025-01-27T14:29:25+07:00,RedryingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x543964f09922e37d201bbe37c5f8cd06920bef2d,0x8af04104fbae5b70fe2138ccbc93b9a121defc5a,0.000432,verified,1
TX-0000039,BATCH-2025-0005,EVT-000065,0x8fbd2c80ac115e2ee4196d10588aee5245c55de9e47c4d785d9c73ab8b3026bf,18750156,2025-01-28T07:52:43+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x543964f09922e37d201bbe37c5f8cd06920bef2d,0x7dd16409dcf043e06a49a0eae1885d16ac970b6b,0.002567,verified,1
TX-0000040,BATCH-2025-0005,EVT-000068,0x0b29b4cd68d159ac1227d2ab5daf31e2cc7ca9fa1c8f0af4e238158a66b23862,18750120,2025-02-03T11:52:58+07:00,QualityVerified,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x543964f09922e37d201bbe37c5f8cd06920bef2d,0xb69ecef3755467b1bd8ebb6b1f6f6068ddf8102e,0.001974,verified,1
TX-0000041,BATCH-2025-0005,EVT-000069,0xcd6b72963ac0b8156a2f9efd5455215017178763e196463e99b78993cd907d2a,18750082,2025-02-05T07:50:10+07:00,MillingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x543964f09922e37d201bbe37c5f8cd06920bef2d,0x7ea2b5840efbbf0713b79e217af553db798de839,0.000549,verified,1
TX-0000042,BATCH-2025-0005,EVT-000071,0x3bb01deefd6f4676773c398c42ad862fd8483162dbe0b4b9d91d3ebc988dba29,18750084,2025-02-06T17:01:13+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x543964f09922e37d201bbe37c5f8cd06920bef2d,0x4c605d9ad24149b7bdf6667570cc1aa29d1a79f5,0.00169,verified,1
TX-0000043,BATCH-2025-0005,EVT-000073,0xa359ef6b44877964de877ba5374f34d45d839c85f533d9e29c4ebe430e5c7fae,18750043,2025-02-08T23:18:53+07:00,OwnershipTransferred,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xa88fadc1f024a4ec1d8d39e73dea7a9099d3d06f,0x406cebfbfb3ce461935557b0c79333a37139a035,0.002979,verified,1
TX-0000044,BATCH-2025-0005,EVT-000074,0xa486fe8484c0c2596f2c05a500f71187767ac89d1ac8a607a7ac801c5240d820,18750132,2025-02-10T08:28:28+07:00,RetailReceived,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x9aec7a6e660499797acea736e356cf2cf7f62a01,0x518e3d9d48906e1d2c156e1667e0b87651a30700,0.001048,verified,1
TX-0000045,BATCH-2025-0006,EVT-000076,0x38ff055b1f568e5308823b249eae6a4cbee8ac3a5d1ca9de945b345c547b7d4a,18750135,2025-04-24T16:23:07+07:00,WeightRecorded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x0353d9c8d8140a1dc6e8f13352209ce60ffc74c1,0x4b5f1c03ab6cd26de4b112e57075588d5b615f2c,0.004112,verified,1
TX-0000046,BATCH-2025-0006,EVT-000081,0x568bcd6338411b7182f2429071faaaf6e811b243b16c4dd6f68b500d5579a671,18750138,2025-04-30T15:46:47+07:00,QualityVerified,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x0353d9c8d8140a1dc6e8f13352209ce60ffc74c1,0xe04a2d973fc88e9f7b467ff0aa09838414640113,0.002657,verified,1
TX-0000047,BATCH-2025-0006,EVT-000082,0xfcae85393f2644e83df55c3178cb40636da989b705f4bd6b3de17163501b0e2a,18750047,2025-04-30T23:29:11+07:00,StorageRegistered,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x0353d9c8d8140a1dc6e8f13352209ce60ffc74c1,0x5cbbccf5b9f3df47c3c159113e4f5a5291a702ff,0.000883,verified,1
TX-0000048,BATCH-2025-0006,EVT-000083,0xa10635b188eb262d00c1e59eb96248385fbf49be0c685cad592725ebdcef0b04,18750144,2025-05-02T17:14:39+07:00,InspectionRecorded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x0353d9c8d8140a1dc6e8f13352209ce60ffc74c1,0x27f098ec72efdc1d246e6a9047420a9b068f5b78,0.001487,verified,1
TX-0000049,BATCH-2025-0006,EVT-000084,0x8a36f6ea6f0205036babce78834aedc14ff73a4a8bb2e910c2177e8d09b0f777,18750147,2025-05-03T06:33:35+07:00,QualityVerified,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x0353d9c8d8140a1dc6e8f13352209ce60ffc74c1,0xd9f02eddcb83d27ed701877d1ae0b5d143eb5090,0.004567,verified,1
TX-0000050,BATCH-2025-0006,EVT-000085,0x9c1cf1bfa9415c7383a38d61dc5e2a859c9116ea55d7725c83583f58368dd6b6,18750100,2025-05-07T10:33:17+07:00,MillingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x0353d9c8d8140a1dc6e8f13352209ce60ffc74c1,0x2f60ee085942b66bfd6a4c8d726d2cfd4e5ed0fe,0.003226,verified,1
TX-0000051,BATCH-2025-0006,EVT-000086,0xc9c405c5bf9cb44f0d337523625298aed6d87649cea9ebfd75f6782973662da9,18750153,2025-05-08T04:13:10+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x0353d9c8d8140a1dc6e8f13352209ce60ffc74c1,0x4c605d9ad24149b7bdf6667570cc1aa29d1a79f5,0.003773,verified,1
TX-0000052,BATCH-2025-0006,EVT-000089,0xb56b710c13c1c61ebb1792376d61cb6e55152b6058916e03b3c4673601649579,18750052,2025-05-09T20:13:53+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x0353d9c8d8140a1dc6e8f13352209ce60ffc74c1,0x7dd16409dcf043e06a49a0eae1885d16ac970b6b,0.003346,verified,1
TX-0000053,BATCH-2025-0006,EVT-000091,0x9fd74da78a99edcc20cc9032851ead6569463217574023e0f2acec481e4c9674,18750053,2025-05-12T19:24:39+07:00,OwnershipTransferred,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xdaf223b146d65b858c617891c403199bd5f8dbec,0xeca0a02904970a2c20be1f78105f42c146ea907e,0.001192,verified,1
TX-0000054,BATCH-2025-0007,EVT-000094,0xdd65f6f393b01551cdbe0db53cf0695fa9d46a70359c9298b4fa025ae6d21767,18750216,2025-03-31T20:17:41+07:00,DryingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x75594460832d5cbc676ee654572ca3e0f6a4cd05,0xbd436cbb2f9944c81a62a9a772d6da769a69318e,0.00107,verified,1
TX-0000055,BATCH-2025-0007,EVT-000095,0x67411b169639856849e3614b4ca655c79d9a4e516993ae877ac0467cf6c0ac16,18750110,2025-04-02T11:22:54+07:00,StorageRegistered,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x75594460832d5cbc676ee654572ca3e0f6a4cd05,0x5cbbccf5b9f3df47c3c159113e4f5a5291a702ff,0.004246,verified,1
TX-0000056,BATCH-2025-0007,EVT-000096,0xf23eae47f3f80fa38b514d8540a74d9d0fb381a6fb99d4cd170fbb4d3803b727,18750168,2025-04-04T08:45:56+07:00,QualityVerified,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x75594460832d5cbc676ee654572ca3e0f6a4cd05,0xe448c727da2253335681d75e652aaac47adf01ab,0.002561,verified,1
TX-0000057,BATCH-2025-0007,EVT-000097,0x2c3f821185cf65e5e6f600cf87e8683aaae7263a951b84366ff9ef944daf3efc,18750057,2025-04-05T12:32:06+07:00,ReprocessingRecorded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x75594460832d5cbc676ee654572ca3e0f6a4cd05,0xe77817993b8f23ca38ef0965a73cf2f98e8c4788,0.004152,verified,1
TX-0000058,BATCH-2025-0007,EVT-000098,0x96e522164da7aabece7a9c13cd9c4d0f8c48a371e8dbe8643e7d0a7f3eb92567,18750174,2025-04-07T07:46:34+07:00,MillingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x75594460832d5cbc676ee654572ca3e0f6a4cd05,0xf375a67354678512e2d7cda9297a463c209ce8bb,0.003044,verified,1
TX-0000059,BATCH-2025-0007,EVT-000099,0xa253a92e265482ed8cf3835ba3ec2dad697d5d633547daa3aa0261ba2ad80808,18750118,2025-04-09T04:51:16+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x75594460832d5cbc676ee654572ca3e0f6a4cd05,0x6cc44eb2ed41a0e4ce58ebd34572f2a35818e3fd,0.001266,verified,1
TX-0000060,BATCH-2025-0007,EVT-000100,0x657628ac236487d05da5a505e04a713095ed89f8e51b9421030e0075c4f4366e,18750180,2025-04-09T08:24:21+07:00,PackingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x75594460832d5cbc676ee654572ca3e0f6a4cd05,0xe77817993b8f23ca38ef0965a73cf2f98e8c4788,0.001683,verified,1
TX-0000061,BATCH-2025-0007,EVT-000101,0x0a4539d449ec558f9444c50d5352f5a161103b0c371bba1130bea6036c2a8b62,18750122,2025-04-09T19:07:40+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x75594460832d5cbc676ee654572ca3e0f6a4cd05,0xc76fad37513081ba512e6bcea02a119968c62597,0.001628,verified,1
TX-0000062,BATCH-2025-0008,EVT-000106,0x25b6ccf091242370208086db2e9cfae59133dde57ba78f522959236c04d9efc8,18750248,2025-01-23T14:14:58+07:00,DryingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x13ca43b17b5a917aff8d4a42f9d889ce20f0dd11,0xbd436cbb2f9944c81a62a9a772d6da769a69318e,0.004311,verified,1
TX-0000063,BATCH-2025-0008,EVT-000107,0x3e1b0953c45fa4860913b85778ede2827e34e1a87e53cf249e07fec71b4010a6,18750252,2025-01-25T18:42:59+07:00,RedryingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x13ca43b17b5a917aff8d4a42f9d889ce20f0dd11,0xa933cd128161b5463727e7383a10aa441c1756dd,0.001579,pending,1
TX-0000064,BATCH-2025-0008,EVT-000110,0xe83d72ce766c2a0748a011d1f15adfef277c481f58e051aaa71764ee7f561a00,18750128,2025-02-02T06:26:14+07:00,ReprocessingRecorded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x13ca43b17b5a917aff8d4a42f9d889ce20f0dd11,0xe77817993b8f23ca38ef0965a73cf2f98e8c4788,0.001389,failed,0
TX-0000065,BATCH-2025-0008,EVT-000110,0x5aa248688d556ea4e8c7104d05771b49997ee0e50eece5d0b09f6679b84385fb,18750260,2025-02-02T06:38:14+07:00,ReprocessingRecordedRetry,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xcd514365683d597cba6aec9f0c55c126154c6708,0xf0ee30f184641874918cff24f0df03e9c0a377e4,0.001435,verified,1
TX-0000066,BATCH-2025-0008,EVT-000112,0x39a5b3b6b394b6579c52bf30973cab480f19199756d2c8cc73220edd3aaa5aac,18750198,2025-02-05T06:26:35+07:00,MillingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x13ca43b17b5a917aff8d4a42f9d889ce20f0dd11,0x43b64a09732c2f2a78729ce0f7f108649dcf71ad,0.001067,verified,1
TX-0000067,BATCH-2025-0008,EVT-000113,0xb4c996a1b58f14000747f580cf3a4458f2232ca453313768559c03e2360968ee,18750134,2025-02-06T06:19:26+07:00,PackingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x13ca43b17b5a917aff8d4a42f9d889ce20f0dd11,0xe77817993b8f23ca38ef0965a73cf2f98e8c4788,0.00091,pending,1
TX-0000068,BATCH-2025-0008,EVT-000114,0xc3db4fcf9fc01768aa490d1c4b8684d249a52a2cbf99fa23115c449fc18e0e06,18750068,2025-02-06T18:08:50+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x13ca43b17b5a917aff8d4a42f9d889ce20f0dd11,0x4c605d9ad24149b7bdf6667570cc1aa29d1a79f5,0.00379,verified,1
TX-0000069,BATCH-2025-0008,EVT-000115,0x311e23cc5906842e6c6fce02d60937a7418eed39ba784490851fc68ff083ff2b,18750207,2025-02-08T06:15:21+07:00,LogisticsLoaded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xbd2026ab0042942b2e36bb5514c18c08415474dc,0xe5d4b5f444fa87f5cb5681c825c712bff6705688,0.007445,verified,1
