edge_id,source_node_id,target_node_id,relation_type,timestamp,event_id,batch_id,event_type,process_stage,actor_id,facility_id,machine_id,duration_min,input_weight_kg,output_weight_kg,loss_weight_kg,process_status,delay_flag,anomaly_flag,route_variant,time_since_prev_min,capacity_utilization,reroute_flag,rework_flag,estimated_moisture,estimated_humidity_pressure,estimated_temp_stress,condition_score
EDGE-000011,BATCH-2025-0001,MCH-GRD-X009,finished_by,2025-04-08T11:46:14+07:00,EVT-000011,BATCH-2025-0001,grading,finishing,FAC-SSM-001,FAC-SSM-001,MCH-GRD-X009,168,1051.99,1027.58,24.41,success,0,0,direct_milling,580.11,0.271,0,0,14.884,0.532,1.288,0.287
EDGE-000012,BATCH-2025-0001,FAC-SSM-001,packed_at,2025-04-09T06:08:40+07:00,EVT-000012,BATCH-2025-0001,packing,packing,FAC-SSM-001,FAC-SSM-001,UNASSIGNED_MACHINE,92,1027.58,1020.73,6.85,success,0,0,direct_milling,907.42,0.143,0,0,14.884,0.532,1.288,0.17
EDGE-000013,BATCH-2025-0001,VAL-002,verified_by,2025-04-09T12:58:37+07:00,EVT-000013,BATCH-2025-0001,blockchain_anchor,traceability,VAL-002,VAL-002,UNASSIGNED_MACHINE,7,1020.73,1020.73,0.0,success,0,0,direct_milling,317.95,0.108,0,0,14.884,0.532,1.288,0.438
EDGE-000014,WRH-X010,TRK-NTB-001,loaded_to,2025-04-10T06:37:09+07:00,EVT-000014,BATCH-2025-0001,loading,logistics,WRH-X010,WRH-X010,TRK-NTB-001,108,1020.73,1017.91,2.82,success,0,0,direct_milling,628.54,0.31,0,0,14.884,0.532,1.288,0.619
EDGE-000015,TRK-NTB-001,DST-X004,delivered_to,2025-04-12T09:17:03+07:00,EVT-000015,BATCH-2025-0001,distribution,distribution,DST-X004,DST-X004,TRK-NTB-001,1746,1017.91,1013.92,3.99,success,1,0,direct_milling,2931.89,0.193,0,0,14.884,0.532,1.288,0.469
EDGE-000016,DST-X004,RTL-X007,supplied_to,2025-04-14T03:26:49+07:00,EVT-000016,BATCH-2025-0001,retail_delivery,retail,RTL-X007,RTL-X007,UNASSIGNED_MACHINE,393,1013.92,1007.83,6.08,success,0,0,direct_milling,783.77,0.487,0,0,14.884,0.532,1.288,0.536
EDGE-000017,FAR-JTG-006,BATCH-2025-0002,produces,2025-05-12T21:49:00+07:00,EVT-000017,BATCH-2025-0002,harvest,harvest,FAR-JTG-006,UNASSIGNED_FACILITY,UNASSIGNED_MACHINE,203,0.0,5864.4,0.0,success,0,0,standard,0.0,0.0,0,0,26.05,0.592,0.0,0.592
EDGE-000018,BATCH-2025-0002,FAC-JTG-001,arrives_at,2025-05-14T09:12:00+07:00,EVT-000018,BATCH-2025-0002,weighing,weighing,FAR-JTG-006,FAC-JTG-001,UNASSIGNED_MACHINE,47,5864.4,5859.15,5.25,delayed,1,0,standard,1920.0,0.239,0,0,26.05,0.592,0.0,0.592
EDGE-000019,BATCH-2025-0002,MCH-DRY-X003,processed_by,2025-05-14T14:52:43+07:00,EVT-000019,BATCH-2025-0002,drying,drying,FAC-JTG-001,FAC-JTG-001,MCH-DRY-X003,600,5859.15,5464.71,394.44,success,0,0,standard,293.72,0.23,0,0,16.668,0.48,0.073,0.676
EDGE-000020,BATCH-2025-0002,LAB-X004,quality_checked_by,2025-05-15T13:44:02+07:00,EVT-000020,BATCH-2025-0002,quality_check,quality_check,LAB-X004,LAB-X004,UNASSIGNED_MACHINE,45,5464.71,5464.71,0.0,success,0,0,standard,771.32,0.319,0,0,16.668,0.48,0.073,0.851
EDGE-000021,BATCH-2025-0002,WRH-JTG-001,stored_at,2025-05-16T04:08:41+07:00,EVT-000021,BATCH-2025-0002,storage,storage,WRH-JTG-001,WRH-JTG-001,UNASSIGNED_MACHINE,2141,5464.71,5369.07,95.63,success,0,1,standard,819.65,0.529,0,0,17.075,1.004,0.073,0.718
EDGE-000022,BATCH-2025-0002,LAB-X005,quality_checked_by,2025-05-18T08:25:14+07:00,EVT-000022,BATCH-2025-0002,quality_check,quality_check,LAB-X005,LAB-X005,UNASSIGNED_MACHINE,67,5369.07,5369.07,0.0,warning,0,1,standard,995.56,0.456,1,0,17.223,1.004,0.073,1.02
EDGE-000023,BATCH-2025-0002,FAC-JTG-001,reprocessed_at,2025-05-19T06:12:39+07:00,EVT-000023,BATCH-2025-0002,reprocessing,reprocessing,FAC-JTG-001,FAC-JTG-001,UNASSIGNED_MACHINE,292,5369.07,5200.22,168.85,success,0,0,standard,822.4,0.239,0,1,16.939,1.004,0.073,1.412
EDGE-000024,BATCH-2025-0002,MCH-MIL-002,milled_by,2025-05-21T10:36:35+07:00,EVT-000024,BATCH-2025-0002,milling,milling,FAC-JTG-001,FAC-JTG-001,MCH-MIL-002,417,5200.22,3473.7,1726.53,success,1,0,standard,2851.95,0.556,0,0,16.939,1.004,2.06,1.089
EDGE-000025,BATCH-2025-0002,FAC-JTG-001,packed_at,2025-05-22T06:08:37+07:00,EVT-000025,BATCH-2025-0002,packing,packing,FAC-JTG-001,FAC-JTG-001,UNASSIGNED_MACHINE,236,3473.7,3466.66,7.04,success,0,0,standard,604.02,0.239,0,0,16.939,1.004,2.06,0.313
EDGE-000026,BATCH-2025-0002,VAL-X002,verified_by,2025-05-23T00:43:36+07:00,EVT-000026,BATCH-2025-0002,blockchain_anchor,traceability,VAL-X002,VAL-X002,UNASSIGNED_MACHINE,5,3466.66,3466.66,0.0,success,0,0,standard,879.0,0.272,0,0,16.939,1.004,2.06,0.495
EDGE-000027,WRH-JTG-001,TRK-X007,loaded_to,2025-05-24T07:37:55+07:00,EVT-000027,BATCH-2025-0002,loading,logistics,WRH-JTG-001,WRH-JTG-001,TRK-X007,121,3466.66,3444.25,22.41,success,1,0,standard,1849.32,0.235,0,0,16.939,1.004,2.06,0.346
EDGE-000028,TRK-X007,DST-X005,delivered_to,2025-05-25T03:36:00+07:00,EVT-000028,BATCH-2025-0002,distribution,distribution,DST-X005,DST-X005,TRK-X007,1397,3444.25,3431.12,13.13,delayed,1,0,standard,1077.08,0.336,0,0,16.939,1.004,2.06,0.421
EDGE-000029,DST-X005,RTL-MKS-001,supplied_to,2025-05-26T19:39:01+07:00,EVT-000029,BATCH-2025-0002,retail_delivery,retail,RTL-MKS-001,RTL-MKS-001,UNASSIGNED_MACHINE,107,3431.12,3411.8,19.32,success,0,0,standard,1006.02,0.39,0,0,16.939,1.004,2.06,0.429
EDGE-000030,FAR-JTG-006,BATCH-2025-0003,produces,2025-06-16T20:31:00+07:00,EVT-000030,BATCH-2025-0003,harvest,harvest,FAR-JTG-006,UNASSIGNED_FACILITY,UNASSIGNED_MACHINE,180,0.0,2676.9,0.0,success,0,0,direct_milling,0.0,0.0,0,0,29.46,0.728,0.0,0.728
EDGE-000031,BATCH-2025-0003,FAC-JTG-001,arrives_at,2025-06-18T18:31:00+07:00,EVT-000031,BATCH-2025-0003,weighing,weighing,FAR-JTG-006,FAC-JTG-001,UNASSIGNED_MACHINE,56,2676.9,2670.42,6.48,success,1,0,direct_milling,2580.0,0.255,0,0,29.46,0.728,0.0,0.728
EDGE-000032,BATCH-2025-0003,FAC-JTG-001,cleaned_at,2025-06-19T06:42:34+07:00,EVT-000032,BATCH-2025-0003,cleaning,cleaning,FAC-JTG-001,FAC-JTG-001,UNASSIGNED_MACHINE,145,2670.42,2617.03,53.4,success,0,0,direct_milling,675.58,0.255,0,0,29.692,0.728,0.0,0.255
EDGE-000033,BATCH-2025-0003,MCH-DRY-002,processed_by,2025-06-19T18:22:20+07:00,EVT-000033,BATCH-2025-0003,drying,drying,FAC-JTG-001,FAC-JTG-001,MCH-DRY-002,696,2617.03,2409.69,207.34,success,0,0,direct_milling,554.76,0.249,0,0,19.424,0.663,0.923,1.104
EDGE-000034,BATCH-2025-0003,LAB-JTG-001,quality_checked_by,2025-06-20T19:02:26+07:00,EVT-000034,BATCH-2025-0003,quality_check,quality_check,LAB-JTG-001,LAB-JTG-001,UNASSIGNED_MACHINE,80,2409.69,2409.69,0.0,success,0,0,direct_milling,784.09,0.214,0,1,19.424,0.663,0.923,1.549
EDGE-000035,BATCH-2025-0003,MCH-DRY-X004,reprocessed_by,2025-06-22T08:17:02+07:00,EVT-000035,BATCH-2025-0003,re_drying,drying,FAC-JTG-001,FAC-JTG-001,MCH-DRY-X004,346,2409.69,2325.34,84.34,success,1,0,direct_milling,2154.61,0.139,0,1,15.521,0.443,3.721,1.8
EDGE-000036,BATCH-2025-0003,WRH-X003,stored_at,2025-06-24T13:40:31+07:00,EVT-000036,BATCH-2025-0003,storage,storage,WRH-X003,WRH-X003,UNASSIGNED_MACHINE,2103,2325.34,2306.08,19.27,warning,1,1,direct_milling,2857.48,0.181,0,0,15.859,0.933,3.721,0.525
EDGE-000037,BATCH-2025-0003,LAB-X004,quality_checked_by,2025-06-26T13:32:54+07:00,EVT-000037,BATCH-2025-0003,quality_check,quality_check,LAB-X004,LAB-X004,UNASSIGNED_MACHINE,70,2306.08,2306.08,0.0,success,0,0,direct_milling,769.38,0.256,0,0,15.859,0.933,3.721,1.349
EDGE-000038,BATCH-2025-0003,FAC-JTG-001,reprocessed_at,2025-06-27T20:08:55+07:00,EVT-000038,BATCH-2025-0003,reprocessing,reprocessing,FAC-JTG-001,FAC-JTG-001,UNASSIGNED_MACHINE,137,2306.08,2251.99,54.08,failed,1,1,direct_milling,1766.02,0.255,0,1,15.192,0.933,3.721,1.136
EDGE-000039,BATCH-2025-0003,MCH-MIL-002,milled_by,2025-06-30T13:24:20+07:00,EVT-000039,BATCH-2025-0003,milling,milling,FAC-JTG-001,FAC-JTG-001,MCH-MIL-002,241,2251.99,1357.54,894.45,warning,1,1,direct_milling,3778.42,0.537,0,0,15.192,0.933,5.114,0.739
EDGE-000040,BATCH-2025-0003,VAL-X002,verified_by,2025-06-30T23:23:09+07:00,EVT-000040,BATCH-2025-0003,blockchain_anchor,traceability,VAL-X002,VAL-X002,UNASSIGNED_MACHINE,11,1357.54,1357.54,0.0,failed,0,1,direct_milling,357.81,0.225,0,0,15.192,0.933,5.114,0.612
EDGE-000041,BATCH-2025-0003,MCH-GRD-X005,finished_by,2025-07-01T19:38:36+07:00,EVT-000041,BATCH-2025-0003,grading,finishing,FAC-JTG-001,FAC-JTG-001,MCH-GRD-X005,216,1357.54,1312.42,45.12,success,0,1,direct_milling,1204.45,0.407,1,0,15.192,0.933,5.114,0.94
EDGE-000042,BATCH-2025-0003,FAC-JTG-001,packed_at,2025-07-02T13:31:05+07:00,EVT-000042,BATCH-2025-0003,packing,packing,FAC-JTG-001,FAC-JTG-001,UNASSIGNED_MACHINE,121,1312.42,1309.27,3.15,success,0,0,direct_milling,856.48,0.255,0,0,15.192,0.933,5.114,0.3
EDGE-000043,BATCH-2025-0003,VAL-X001,verified_by,2025-07-02T22:23:53+07:00,EVT-000043,BATCH-2025-0003,blockchain_anchor,traceability,VAL-X001,VAL-X001,UNASSIGNED_MACHINE,8,1309.27,1309.27,0.0,success,0,0,direct_milling,411.8,0.082,0,0,15.192,0.933,5.114,1.029
EDGE-000044,WRH-X003,TRK-X008,loaded_to,2025-07-03T08:53:08+07:00,EVT-000044,BATCH-2025-0003,loading,logistics,WRH-X003,WRH-X003,TRK-X008,52,1309.27,1305.69,3.58,success,0,0,direct_milling,621.26,0.086,0,0,15.192,0.933,5.114,0.639
EDGE-000045,TRK-X008,DST-JKT-001,delivered_to,2025-07-03T23:23:12+07:00,EVT-000045,BATCH-2025-0003,distribution,distribution,DST-JKT-001,DST-JKT-001,TRK-X008,1666,1305.69,1304.98,0.71,delayed,1,1,direct_milling,818.06,0.079,0,0,15.192,0.933,5.114,0.528
EDGE-000046,DST-JKT-001,RTL-JKT-001,supplied_to,2025-07-05T21:45:07+07:00,EVT-000046,BATCH-2025-0003,retail_delivery,retail,RTL-JKT-001,RTL-JKT-001,UNASSIGNED_MACHINE,150,1304.98,1303.61,1.37,success,0,1,direct_milling,1115.91,0.372,0,0,15.192,0.933,5.114,0.584
EDGE-000047,FAR-JBR-002,BATCH-2025-0004,produces,2025-07-18T22:23:00+07:00,EVT-000047,BATCH-2025-0004,harvest,harvest,FAR-JBR-002,UNASSIGNED_FACILITY,UNASSIGNED_MACHINE,148,0.0,4781.7,0.0,success,0,0,clean_first,0.0,0.0,0,0,25.44,0.718,0.0,0.718
EDGE-000048,BATCH-2025-0004,FAC-JBR-001,arrives_at,2025-07-20T06:51:00+07:00,EVT-000048,BATCH-2025-0004,weighing,weighing,FAR-JBR-002,FAC-JBR-001,UNASSIGNED_MACHINE,38,4781.7,4764.36,17.34,success,1,0,clean_first,1800.0,0.573,0,0,25.44,0.718,0.0,0.718
EDGE-000049,BATCH-2025-0004,FAC-JBR-001,cleaned_at,2025-07-20T15:35:21+07:00,EVT-000049,BATCH-2025-0004,cleaning,cleaning,FAC-JBR-001,FAC-JBR-001,UNASSIGNED_MACHINE,87,4764.36,4613.24,151.12,success,0,0,clean_first,486.36,0.573,0,0,25.523,0.718,0.0,0.251
EDGE-000050,BATCH-2025-0004,MCH-DRY-X001,processed_by,2025-07-21T06:10:57+07:00,EVT-000050,BATCH-2025-0004,drying,drying,FAC-JBR-001,FAC-JBR-001,MCH-DRY-X001,594,4613.24,4309.33,303.91,warning,0,0,clean_first,551.59,0.382,0,0,16.899,0.61,0.292,0.759
EDGE-000051,BATCH-2025-0004,WRH-JBR-001,stored_at,2025-07-22T06:42:04+07:00,EVT-000051,BATCH-2025-0004,storage,storage,WRH-JBR-001,WRH-JBR-001,UNASSIGNED_MACHINE,2876,4309.33,4277.61,31.72,success,0,0,clean_first,877.12,0.272,0,0,17.151,1.193,0.292,0.732
EDGE-000052,BATCH-2025-0004,LAB-X003,quality_checked_by,2025-07-25T13:09:47+07:00,EVT-000052,BATCH-2025-0004,quality_check,quality_check,LAB-X003,LAB-X003,UNASSIGNED_MACHINE,82,4277.61,4277.61,0.0,success,1,1,clean_first,1831.72,0.35,1,0,17.151,1.193,0.292,1.368
EDGE-000053,BATCH-2025-0004,FAC-JBR-001,reprocessed_at,2025-07-28T07:32:13+07:00,EVT-000053,BATCH-2025-0004,reprocessing,reprocessing,FAC-JBR-001,FAC-JBR-001,UNASSIGNED_MACHINE,274,4277.61,4198.79,78.83,warning,1,1,clean_first,3900.43,0.573,0,1,16.115,1.193,0.292,1.591
EDGE-000054,BATCH-2025-0004,MCH-MIL-X001,milled_by,2025-07-29T10:46:50+07:00,EVT-000054,BATCH-2025-0004,milling,milling,FAC-JBR-001,FAC-JBR-001,MCH-MIL-X001,545,4198.79,2616.02,1582.77,success,0,0,clean_first,1360.63,0.569,0,0,16.115,1.193,1.64,1.021
EDGE-000055,BATCH-2025-0004,VAL-003,verified_by,2025-07-30T05:01:51+07:00,EVT-000055,BATCH-2025-0004,blockchain_anchor,traceability,VAL-003,VAL-003,UNASSIGNED_MACHINE,6,2616.02,2616.02,0.0,success,0,0,clean_first,550.01,0.106,0,0,16.115,1.193,1.64,0.394
EDGE-000056,BATCH-2025-0004,MCH-POL-001,finished_by,2025-07-30T19:54:28+07:00,EVT-000056,BATCH-2025-0004,grading,finishing,FAC-JBR-001,FAC-JBR-001,MCH-POL-001,259,2616.02,2534.01,82.01,success,0,0,clean_first,886.62,0.393,1,0,16.115,1.193,1.64,0.38
EDGE-000057,BATCH-2025-0004,VAL-001,verified_by,2025-07-31T18:55:32+07:00,EVT-000057,BATCH-2025-0004,blockchain_anchor,traceability,VAL-001,VAL-001,UNASSIGNED_MACHINE,7,2534.01,2534.01,0.0,success,0,0,clean_first,1122.06,0.152,0,0,16.115,1.193,1.64,0.453
EDGE-000058,WRH-JBR-001,TRK-X002,loaded_to,2025-08-02T06:00:39+07:00,EVT-000058,BATCH-2025-0004,loading,logistics,WRH-JBR-001,WRH-JBR-001,TRK-X002,65,2534.01,2523.25,10.75,delayed,1,0,clean_first,2089.13,0.159,0,0,16.115,1.193,1.64,0.432
EDGE-000059,TRK-X002,DST-X006,delivered_to,2025-08-05T18:41:48+07:00,EVT-000059,BATCH-2025-0004,distribution,distribution,DST-X006,DST-X006,TRK-X002,771,2523.25,2519.61,3.64,success,1,0,clean_first,5016.15,0.091,0,0,16.115,1.193,1.64,0.433
EDGE-000060,DST-X006,RTL-MKS-001,supplied_to,2025-08-06T20:40:56+07:00,EVT-000060,BATCH-2025-0004,retail_delivery,retail,RTL-MKS-001,RTL-MKS-001,UNASSIGNED_MACHINE,392,2519.61,2517.27,2.34,success,0,0,clean_first,788.12,0.339,0,0,16.115,1.193,1.64,0.495
EDGE-000061,FAR-JTG-006,BATCH-2025-0005,produces,2025-01-22T19:08:00+07:00,EVT-000061,BATCH-2025-0005,harvest,harvest,FAR-JTG-006,UNASSIGNED_FACILITY,UNASSIGNED_MACHINE,173,0.0,1482.4,0.0,success,0,0,qc_before_storage,0.0,0.0,0,0,24.48,0.229,0.0,0.229
EDGE-000062,BATCH-2025-0005,FAC-JTG-001,arrives_at,2025-01-23T21:01:00+07:00,EVT-000062,BATCH-2025-0005,weighing,weighing,FAR-JTG-006,FAC-JTG-001,UNASSIGNED_MACHINE,69,1482.4,1482.35,0.05,success,0,0,qc_before_storage,1380.0,0.163,0,0,24.48,0.229,0.0,0.229
EDGE-000063,BATCH-2025-0005,MCH-DRY-X004,processed_by,2025-01-24T10:34:31+07:00,EVT-000063,BATCH-2025-0005,drying,drying,FAC-JTG-001,FAC-JTG-001,MCH-DRY-X004,545,1482.35,1380.55,101.8,success,0,0,qc_before_storage,744.53,0.143,0,0,15.567,0.139,0.756,0.229
EDGE-000064,BATCH-2025-0005,MCH-DRY-X003,reprocessed_by,2025-01-27T14:28:42+07:00,EVT-000064,BATCH-2025-0005,re_drying,drying,FAC-JTG-001,FAC-JTG-001,MCH-DRY-X003,183,1380.55,1357.15,23.41,success,1,0,qc_before_storage,4009.17,0.119,0,1,13.036,0.035,1.895,0.44
EDGE-000065,BATCH-2025-0005,VAL-X001,verified_by,2025-01-28T07:45:35+07:00,EVT-000065,BATCH-2025-0005,blockchain_anchor,traceability,VAL-X001,VAL-X001,UNASSIGNED_MACHINE,3,1357.15,1357.15,0.0,success,0,0,qc_before_storage,853.9,0.096,0,0,13.036,0.035,1.895,0.023
EDGE-000066,BATCH-2025-0005,LAB-X004,quality_checked_by,2025-01-28T18:34:19+07:00,EVT-000066,BATCH-2025-0005,quality_check,quality_check,LAB-X004,LAB-X004,UNASSIGNED_MACHINE,62,1357.15,1357.15,0.0,success,0,0,qc_before_storage,645.73,0.183,0,0,13.036,0.035,1.895,0.035
EDGE-000067,BATCH-2025-0005,WRH-JTG-001,stored_at,2025-01-30T08:39:09+07:00,EVT-000067,BATCH-2025-0005,storage,storage,WRH-JTG-001,WRH-JTG-001,UNASSIGNED_MACHINE,3356,1357.15,1339.71,17.44,success,1,0,qc_before_storage,2222.83,0.267,0,0,13.644,0.465,1.895,0.155
EDGE-000068,BATCH-2025-0005,LAB-X003,quality_checked_by,2025-02-03T11:51:25+07:00,EVT-000068,BATCH-2025-0005,quality_check,quality_check,LAB-X003,LAB-X003,UNASSIGNED_MACHINE,64,1339.71,1339.71,0.0,success,1,0,qc_before_storage,2596.26,0.258,0,0,13.644,0.465,1.895,1.005
EDGE-000069,BATCH-2025-0005,MCH-MIL-X003,milled_by,2025-02-05T07:47:03+07:00,EVT-000069,BATCH-2025-0005,milling,milling,FAC-JTG-001,FAC-JTG-001,MCH-MIL-X003,286,1339.71,938.79,400.92,success,1,0,qc_before_storage,2571.63,0.121,0,0,13.644,0.465,3.65,0.228
EDGE-000070,BATCH-2025-0005,FAC-JTG-001,packed_at,2025-02-06T06:00:32+07:00,EVT-000070,BATCH-2025-0005,packing,packing,FAC-JTG-001,FAC-JTG-001,UNASSIGNED_MACHINE,171,938.79,931.71,7.08,success,0,0,qc_before_storage,738.49,0.163,0,0,13.644,0.465,3.65,0.16
EDGE-000071,BATCH-2025-0005,VAL-002,verified_by,2025-02-06T16:54:50+07:00,EVT-000071,BATCH-2025-0005,blockchain_anchor,traceability,VAL-002,VAL-002,UNASSIGNED_MACHINE,7,931.71,931.71,0.0,success,0,0,qc_before_storage,483.3,0.047,0,0,13.644,0.465,3.65,0.016
EDGE-000072,WRH-JTG-001,TRK-X008,loaded_to,2025-02-08T09:41:03+07:00,EVT-000072,BATCH-2025-0005,loading,logistics,WRH-JTG-001,WRH-JTG-001,TRK-X008,152,931.71,926.58,5.13,delayed,1,0,qc_before_storage,2439.22,0.071,0,0,13.644,0.465,3.65,0.512
EDGE-000073,TRK-X008,DST-X003,delivered_to,2025-02-08T23:18:32+07:00,EVT-000073,BATCH-2025-0005,distribution,distribution,DST-X003,DST-X003,TRK-X008,1410,926.58,921.92,4.66,success,0,0,qc_before_storage,665.48,0.049,0,0,13.644,0.465,3.65,0.518
EDGE-000074,DST-X003,RTL-SMG-001,supplied_to,2025-02-10T08:26:53+07:00,EVT-000074,BATCH-2025-0005,retail_delivery,retail,RTL-SMG-001,RTL-SMG-001,UNASSIGNED_MACHINE,190,921.92,915.83,6.08,success,0,0,qc_before_storage,578.36,0.173,0,0,13.644,0.465,3.65,0.448
EDGE-000075,FAR-SSM-019,BATCH-2025-0006,produces,2025-04-23T20:15:00+07:00,EVT-000075,BATCH-2025-0006,harvest,harvest,FAR-SSM-019,UNASSIGNED_FACILITY,UNASSIGNED_MACHINE,185,0.0,5154.5,0.0,success,0,0,inspection_heavy,0.0,0.0,0,0,26.99,0.54,0.0,0.54
EDGE-000076,BATCH-2025-0006,FAC-SSM-001,arrives_at,2025-04-24T16:20:00+07:00,EVT-000076,BATCH-2025-0006,weighing,weighing,FAR-SSM-019,FAC-SSM-001,UNASSIGNED_MACHINE,44,5154.5,5146.87,7.63,success,0,0,inspection_heavy,1020.0,0.139,0,0,26.99,0.54,0.0,0.54
EDGE-000077,BATCH-2025-0006,FAC-SSM-001,cleaned_at,2025-04-24T20:33:01+07:00,EVT-000077,BATCH-2025-0006,cleaning,cleaning,FAC-SSM-001,FAC-SSM-001,UNASSIGNED_MACHINE,78,5146.87,5033.49,113.39,success,0,0,inspection_heavy,209.02,0.139,0,0,27.201,0.54,0.0,0.189
EDGE-000078,BATCH-2025-0006,MCH-DRY-X007,processed_by,2025-04-25T06:28:46+07:00,EVT-000078,BATCH-2025-0006,drying,drying,FAC-SSM-001,FAC-SSM-001,MCH-DRY-X007,470,5033.49,4620.71,412.78,warning,0,1,inspection_heavy,267.75,0.397,1,0,17.854,0.482,4.361,0.716
EDGE-000079,BATCH-2025-0006,LAB-X009,quality_checked_by,2025-04-25T21:06:28+07:00,EVT-000079,BATCH-2025-0006,quality_check,quality_check,LAB-X009,LAB-X009,UNASSIGNED_MACHINE,67,4620.71,4620.71,0.0,success,0,0,inspection_heavy,407.71,0.187,0,1,17.854,0.482,4.361,1.085
EDGE-000080,BATCH-2025-0006,MCH-DRY-X009,reprocessed_by,2025-04-29T06:38:31+07:00,EVT-000080,BATCH-2025-0006,re_drying,drying,FAC-SSM-001,FAC-SSM-001,MCH-DRY-X009,453,4620.71,4509.76,110.95,warning,1,1,inspection_heavy,4492.05,0.129,0,1,14.248,0.248,5.159,1.286
EDGE-000081,BATCH-2025-0006,LAB-X011,quality_checked_by,2025-04-30T15:44:42+07:00,EVT-000081,BATCH-2025-0006,quality_check,quality_check,LAB-X011,LAB-X011,UNASSIGNED_MACHINE,68,4509.76,4509.76,0.0,success,1,0,inspection_heavy,1533.18,0.179,1,0,14.248,0.248,5.159,0.256
EDGE-000082,BATCH-2025-0006,WRH-X006,stored_at,2025-04-30T23:26:29+07:00,EVT-000082,BATCH-2025-0006,storage,storage,WRH-X006,WRH-X006,UNASSIGNED_MACHINE,2195,4509.76,4450.06,59.7,success,0,0,inspection_heavy,393.79,0.453,1,0,14.248,0.398,5.159,0.452
EDGE-000083,BATCH-2025-0006,LAB-X009,quality_checked_by,2025-05-02T17:09:00+07:00,EVT-000083,BATCH-2025-0006,inspection,quality_check,LAB-X009,LAB-X009,UNASSIGNED_MACHINE,89,4450.06,4450.06,0.0,success,0,0,inspection_heavy,307.51,0.289,0,0,14.248,0.398,5.159,0.398
